Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
28/05/2025 01:02,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,4,4,3,2
28/05/2025 01:04,B27,Beberapa kali dalam satu minggu,3,Sore,3,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,3,3,3,3,4,4,4,4,3,2
28/05/2025 01:12,B27,Sehari sekali,5,Siang,5,> Rp 30.000,Cemilan ringan,Variasi makanan,4,4,4,4,4,4,4,4,3,3
28/05/2025 07:02,B27,Beberapa kali dalam satu minggu,4,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,5,5,5,4,4,4,5,3,1,4
28/05/2025 11:09,B27,Sehari sekali,5,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,5,5,5,5,3,3
28/05/2025 11:09,B27,Beberapa kali dalam satu minggu,3,Siang,2,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,4,4,4,4,4,4
28/05/2025 15:42,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 15:45,B27,Sehari sekali,5,Siang,1,> Rp 30.000,Makanan berbasis nasi,Lokasi,4,4,4,4,4,4,4,4,2,2
28/05/2025 15:47,B27,Beberapa kali dalam sehari,5,Siang,2,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 15:48,B27,Beberapa kali dalam satu minggu,5,Pagi,3,> Rp 30.000,Makanan berbasis nasi,Rasa makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 15:49,B27,Beberapa kali dalam satu minggu,3,Pagi,2,> Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 15:50,B27,Sehari sekali,4,Pagi,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,5,5,5,5,5,5,5,5,5,5
28/05/2025 15:50,B27,Beberapa kali dalam satu minggu,5,Sore,3,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Fasilitas,4,4,4,4,4,4,4,4,4,4
28/05/2025 15:53,B27,Sehari sekali,5,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 15:57,B27,Sehari sekali,5,Siang,5,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,3,3,4,4,4,4,4,4,2,2
28/05/2025 15:58,B27,Sehari sekali,5,Sore,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 15:59,B27,Beberapa kali dalam satu minggu,5,Sore,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,5,5,5,5,5,5,5,5,5,5
28/05/2025 16:00,B27,Beberapa kali dalam satu minggu,5,Siang,3,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,3,3
28/05/2025 16:02,B27,Sehari sekali,5,Siang,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,2,2
28/05/2025 16:04,B27,Sehari sekali,5,Siang,5,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,5,5,5,5,5,5,5,5,5,5
28/05/2025 16:04,B27,Sehari sekali,5,Sore,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:05,B27,Beberapa kali dalam satu minggu,5,Siang,5,> Rp 30.000,Makanan berbasis nasi,Fasilitas,5,5,5,5,5,5,5,5,5,5
28/05/2025 16:05,B27,Sehari sekali,5,Siang,5,Rp 26.000 - Rp 30.000,Makanan cepat saji,Fasilitas,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:06,B27,Beberapa kali dalam satu minggu,5,Siang,5,Rp 21.000 - Rp 25.000,Makanan cepat saji,Variasi makanan,5,5,5,5,5,5,5,5,5,5
28/05/2025 16:07,B27,Beberapa kali dalam satu minggu,3,Sore,5,Rp 26.000 - Rp 30.000,Makanan cepat saji,Fasilitas,4,4,4,4,4,4,4,4,3,3
28/05/2025 16:20,B27,Beberapa kali dalam satu minggu,3,Siang,5,Rp 21.000 - Rp 25.000,Makanan cepat saji,Variasi makanan,3,4,5,4,4,3,4,4,4,5
28/05/2025 16:24,B27,Jarang atau tidak pernah,1,Pagi,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:43,B27,Sehari sekali,5,Sore,3,> Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:45,B27,Beberapa kali dalam satu minggu,5,Sore,5,≤ Rp 15.000,Minuman,Rasa makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:48,B27,Beberapa kali dalam satu minggu,5,Sore,5,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
28/05/2025 16:48,B27,Beberapa kali dalam satu minggu,5,Sore,5,> Rp 30.000,Makanan berbasis nasi,Lokasi,2,4,4,4,4,4,4,4,2,2
28/05/2025 16:49,B27,Beberapa kali dalam satu minggu,3,Siang,5,> Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,5,5,5,5,5,5,5,5,5,5
